iter	Passed	Remaining
342	646	1238
343	647	1235
344	648	1232
345	650	1229
346	651	1225
347	652	1222
348	653	1219
349	655	1216
350	656	1213
351	657	1210
352	658	1207
353	659	1204
354	660	1200
355	662	1197
356	663	1194
357	664	1191
358	665	1188
359	667	1186
360	668	1183
361	669	1180
362	671	1177
363	672	1174
364	673	1171
365	674	1168
366	675	1165
367	677	1162
368	678	1160
369	679	1157
370	680	1154
371	682	1151
372	683	1148
373	684	1145
374	685	1142
375	686	1140
376	688	1137
377	689	1134
378	690	1131
379	691	1128
380	692	1125
381	693	1122
382	695	1119
383	696	1116
384	697	1114
385	698	1111
386	700	1108
387	701	1106
388	702	1103
389	703	1100
390	704	1097
391	706	1095
392	707	1092
393	708	1089
394	709	1087
395	710	1084
396	712	1081
397	713	1078
398	714	1076
399	715	1073
400	716	1070
401	718	1068
402	719	1065
403	720	1063
404	721	1060
405	722	1057
406	724	1055
407	725	1052
408	726	1049
409	727	1047
410	728	1044
411	730	1041
412	731	1039
413	732	1036
414	733	1034
415	734	1031
416	735	1028
417	737	1026
418	738	1023
419	739	1021
420	740	1018
421	742	1016
422	743	1013
423	744	1011
424	745	1008
425	746	1006
426	748	1003
427	749	1001
428	750	998
429	751	996
430	752	993
431	754	991
432	755	989
433	756	986
434	757	984
435	759	981
436	760	979
437	761	976
438	762	974
439	763	971
440	764	969
441	766	967
442	767	964
443	768	962
444	769	959
445	770	957
446	772	955
447	773	953
448	775	951
449	776	948
450	777	946
451	778	944
452	780	941
453	781	939
454	782	937
455	783	934
456	784	932
457	786	930
458	787	928
459	789	927
