iter	Passed	Remaining
435	1606	2078
436	1609	2074
437	1613	2069
438	1614	2063
439	1617	2058
440	1619	2052
441	1621	2046
442	1623	2040
443	1626	2037
444	1629	2031
445	1631	2026
446	1633	2021
447	1635	2015
448	1637	2009
449	1638	2002
450	1641	1997
451	1642	1991
452	1644	1985
453	1645	1979
454	1647	1973
455	1649	1967
456	1650	1961
457	1652	1955
458	1654	1949
459	1657	1945
460	1659	1939
461	1660	1933
462	1662	1928
463	1663	1922
464	1665	1916
465	1666	1910
466	1668	1904
467	1670	1899
468	1673	1894
469	1674	1888
470	1676	1882
471	1677	1876
472	1679	1871
473	1680	1865
474	1682	1859
475	1684	1854
476	1687	1850
477	1689	1844
478	1691	1839
479	1693	1834
480	1695	1829
481	1696	1823
482	1698	1817
483	1701	1813
484	1703	1808
485	1704	1803
486	1706	1797
487	1707	1791
488	1709	1786
489	1711	1781
490	1713	1776
491	1716	1772
492	1718	1767
493	1719	1761
494	1721	1756
495	1722	1750
496	1724	1745
497	1725	1739
498	1727	1734
499	1731	1731
500	1733	1726
501	1734	1720
502	1735	1715
503	1737	1709
504	1738	1704
505	1740	1699
506	1742	1693
507	1745	1690
508	1747	1685
509	1749	1680
510	1751	1675
511	1752	1670
512	1754	1665
513	1755	1660
514	1757	1654
515	1761	1652
516	1763	1647
517	1765	1642
518	1766	1637
519	1768	1632
520	1769	1626
521	1770	1621
522	1772	1616
523	1774	1611
524	1776	1607
525	1778	1602
526	1779	1597
527	1781	1592
528	1782	1587
529	1784	1582
530	1786	1577
531	1788	1573
532	1792	1570
533	1793	1565
534	1795	1560
535	1796	1555
536	1798	1550
537	1800	1545
538	1801	1540
539	1803	1536
540	1806	1532
541	1808	1527
542	1809	1523
543	1811	1518
544	1812	1513
545	1813	1508
546	1815	1503
547	1817	1498
548	1819	1495
549	1821	1490
550	1823	1485
551	1825	1481
552	1828	1477
553	1829	1472
554	1831	1468
555	1832	1463
556	1835	1459
557	1837	1455
558	1838	1450
559	1839	1445
560	1841	1440
561	1842	1436
562	1844	1431
563	1845	1426
564	1847	1422
565	1850	1418
566	1851	1414
567	1853	1409
568	1854	1404
569	1856	1400
570	1857	1395
571	1859	1391
572	1860	1386
573	1865	1384
574	1867	1380
575	1868	1375
576	1870	1371
577	1872	1367
578	1874	1362
579	1875	1358
580	1877	1354
581	1881	1351
582	1883	1347
583	1886	1343
584	1888	1339
585	1889	1335
586	1891	1330
587	1893	1326
588	1896	1323
589	1898	1319
590	1899	1314
591	1901	1310
592	1902	1306
593	1904	1301
594	1906	1297
595	1917	1299
596	1924	1299
597	1927	1295
598	1929	1291
599	1931	1287
600	1932	1283
601	1934	1279
602	1936	1274
603	1938	1270
604	1940	1266
605	1943	1263
606	1945	1259
607	1947	1255
608	1948	1251
609	1950	1247
610	1957	1246
611	1960	1242
612	1962	1238
613	1964	1234
614	1965	1230
615	1984	1236
616	1988	1234
617	1990	1230
618	1991	1226
619	2001	1226
620	2005	1223
621	2006	1219
622	2008	1215
623	2010	1211
624	2024	1214
625	2038	1217
626	2040	1214
627	2050	1214
628	2053	1211
629	2089	1227
630	2091	1222
631	2093	1218
632	2094	1214
633	2096	1210
634	2098	1206
635	2099	1201
636	2102	1197
637	2104	1193
638	2106	1190
639	2108	1186
640	2111	1182
641	2116	1179
642	2118	1176
643	2121	1172
644	2124	1169
645	2129	1166
646	2131	1163
647	2134	1159
648	2136	1155
649	2138	1151
650	2147	1151
651	2151	1148
652	2154	1144
653	2161	1143
654	2164	1139
655	2168	1137
656	2170	1133
657	2174	1130
658	2177	1126
659	2181	1123
660	2191	1124
661	2196	1121
662	2203	1120
663	2207	1116
664	2209	1113
665	2212	1109
666	2219	1107
667	2224	1105
668	2227	1102
669	2232	1099
670	2234	1095
671	2237	1091
672	2239	1088
673	2243	1085
674	2247	1082
675	2250	1078
676	2252	1074
677	2255	1071
678	2257	1067
679	2262	1064
680	2265	1061
681	2267	1057
682	2270	1053
683	2275	1051
684	2278	1047
685	2280	1043
686	2282	1039
687	2283	1035
688	2285	1031
689	2288	1027
690	2291	1024
691	2293	1020
692	2295	1016
693	2297	1012
694	2298	1008
695	2301	1005
696	2303	1001
697	2306	998
698	2308	994
699	2310	990
700	2311	986
701	2313	982
702	2315	978
703	2316	974
